               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.018401,           0.0062574,                   0,             0.98282,             0.98922,             0.99411,             0.77691,            0.015951,           0.0026392,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.018508,           0.0060629,                   0,             0.98745,             0.98271,             0.99251,             0.76138,            0.016004,             0.00264,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.018669,           0.0062371,                   0,             0.98466,             0.99424,              0.9934,             0.76683,            0.015776,           0.0026358,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.017861,           0.0059878,                   0,             0.98054,             0.99135,             0.99284,             0.78078,             0.01547,           0.0025804,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.017763,            0.006168,                   0,             0.98006,             0.99131,             0.99439,             0.78343,            0.015791,           0.0025728,                   0,            0.001882,            0.001882,            0.001882
                  43,              0.0175,           0.0060594,                   0,             0.97993,             0.98508,             0.99372,             0.78266,            0.015404,           0.0025849,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.017284,           0.0059987,                   0,             0.97999,             0.98813,             0.99333,             0.79032,            0.015434,           0.0025978,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.017331,            0.005863,                   0,             0.98149,             0.98847,             0.99376,             0.78257,            0.015374,           0.0025973,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.017464,           0.0058759,                   0,             0.98001,             0.99135,             0.99353,             0.79294,            0.015069,           0.0025689,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.016824,           0.0058625,                   0,             0.98007,             0.99225,             0.99391,             0.79472,            0.015099,           0.0025218,                   0,            0.000892,            0.000892,            0.000892
                  48,             0.01674,           0.0058567,                   0,             0.98245,             0.99424,             0.99336,             0.78947,            0.014829,           0.0025848,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.016792,           0.0058288,                   0,             0.98196,             0.99424,              0.9936,             0.78774,             0.01492,           0.0025358,                   0,            0.000496,            0.000496,            0.000496
